t,x1,y1,x2,y2,x3,y3
1.04,-0.72030647077398868294,-0.85637612568446075390,-0.38592530783420786467,1.03886050565751797414,1.08820717962089852371,-0.19834039166630607065
1.06,-0.73657962851099267887,-0.84899819364931172760,-0.37163423424546665474,1.04881400588749462699,1.08944664503266719358,-0.21614407630898241353
1.08,-0.75271961652753649474,-0.84146112855140253739,-0.35727886704602784818,1.05856782739999921716,1.09047410199315630841,-0.23390838531824681423
1.10,-0.76872524506499462227,-0.83376839828446214220,-0.34286281338056395773,1.06812282236392808166,1.09129208309332215165,-0.25163047231639973367
1.12,-0.78459543356110850176,-0.82592348377098412371,-0.32838963266497045446,1.07747994335612151673,1.09190318842939704247,-0.26930758313731323339
1.14,-0.80032895841457674102,-0.81792959648101570824,-0.31386273099820416466,1.08663987535823403086,1.09230970117871128977,-0.28693697158714814854
1.16,-0.81592466201547952931,-0.80978985693446903227,-0.29928540112164386811,1.09560331075336647721,1.09251385584640714477,-0.30451599761702996538
1.18,-0.83138168775167886615,-0.80150758974734570561,-0.28466094804138997176,1.10437130936925376190,1.09251822527516040395,-0.32204218955397667656
1.20,-0.84669923643206512764,-0.79308607999849956016,-0.26999261199441776382,1.11294495882398725151,1.09232537580867616889,-0.33951314788103120756
1.22,-0.86187656628655795465,-0.78452857322963631681,-0.25528356844857652552,1.12132537452601588335,1.09193786729168840210,-0.35692654523726208282
1.24,-0.87691299296610603076,-0.77583827544531369647,-0.24053692810259014179,1.12951369967414549933,1.09135825306995970507,-0.37428012641776337022
1.26,-0.89180788954268652713,-0.76701835311294130904,-0.22575573688605665712,1.13751110525753906799,1.09058907999028220637,-0.39157170837365440352
1.28,-0.90656068650930610175,-0.75807193316278087547,-0.21094297595944855317,1.14531879005571646246,1.08963288840047689554,-0.40879918021208028200
1.30,-0.92117087178000001124,-0.74900210298794622776,-0.19610156171411263770,1.15293798063855468250,1.08849221214939362312,-0.42596050319621103775
1.32,-0.93563799068983255491,-0.73981191044440308691,-0.18123434577227012787,1.16036993136628785450,1.08716957858691110061,-0.44305371074524269037
1.34,-0.94996164599489718583,-0.73050436385096895187,-0.16634411498701634491,1.16761592438950723150,1.08566750856393734459,-0.46007690843439652539
1.36,-0.96414149787231595568,-0.72108243198931376572,-0.15143359144232124147,1.17467726964916097110,1.08398851643240901055,-0.47702827399491920524
1.38,-0.97817726392024018089,-0.71154904410395913850,-0.13650543245302892981,1.18155530487655435756,1.08213511004529205906,-0.49390605731408288026
1.40,-0.99206871915784988758,-0.70190708990227890229,-0.12156223056485804257,1.18825139559334957973,1.08010979075658131165,-0.51070858043518518876
1.42,-1.00581569602535414454,-0.69215941955449877820,-0.10660651355440167731,1.19476693511156595306,1.07791505342130022882,-0.52743423755754892390
1.44,-1.01941808438399106329,-0.68230884369369626530,-0.09164074442912656382,1.20110334453358014173,1.07555338639550202018,-0.54408149503652292189
1.46,-1.03287583151602779807,-0.67235813341580108471,-0.07666732142737436861,1.20726207275212571446,1.07302727153626809020,-0.56064889138348128483
1.48,-1.04618894212476010175,-0.66231002027959529066,-0.06168857801836130639,1.21324459645029292254,1.07033918420170937047,-0.57713503726582304765
1.50,-1.05935747833451276989,-0.65216719630671238228,-0.04670678290217766815,1.21905242010152958798,1.06749159325096543149,-0.59353861550697306626
1.52,-1.07238155969064008488,-0.64193231398163796975,-0.03172414000978757143,1.22468707596964021533,1.06448696104420514885,-0.60985838108638212862
1.54,-1.08526136315952426159,-0.63160798625170988529,-0.01674278850303034805,1.23015012410878665783,1.06132774344262603705,-0.62609316113952562244
1.56,-1.09799712312857744578,-0.62119678652711796119,-0.00176480277461915636,1.23544315236348789533,1.05801638980845469362,-0.64224185495790497846
1.58,-1.11058913140624015981,-0.61070124868090391868,0.01320780755185801958,1.24056777636861936820,1.05455534300494702116,-0.65830343398904644925
1.60,-1.12303773722198219076,-0.60012386704896103495,0.02817309762193975775,1.24552563954941430957,1.05094703939638733914,-0.67427694183650277449
1.62,-1.13534334722630236847,-0.58946709643003547541,0.04312918735028947737,1.25031841312146263512,1.04719390884808971620,-0.69016149425985140464
1.64,-1.14750617596331250247,-0.57873335624866750759,0.05807412333327233861,1.25494758494143465732,1.04329825119096830655,-0.70595605114650705758
1.66,-1.15952640866187706159,-0.56792501225646319085,0.07300598226318989747,1.25941458885925738898,1.03926230270819419665,-0.72165957322688489839
1.68,-1.17140446419155774826,-0.55704438083069041099,0.08792300901917216027,1.26372103191320794835,1.03508837418208266001,-0.73727125794290171434
1.70,-1.18314077892346802834,-0.54609374066966320793,0.10282349013864074128,1.26786851579494164177,1.03077875121207807041,-0.75279033780423521005
1.72,-1.19473580673027268695,-0.53507533279274233085,0.11770575381730777331,1.27185863684949307384,1.02633569421475367989,-0.76821608038832311927
1.74,-1.20619001898618893875,-0.52399136054033434995,0.13256816990917671961,1.27569298607527481515,1.02176143842381117466,-0.78354778834036398205
1.76,-1.21750390456698531771,-0.51284398957389243368,0.14740914992654202686,1.27937314912407851253,1.01705819389008089715,-0.79878479937331681171
1.78,-1.22867796984998189913,-0.50163534787591590458,0.16222714703998938890,1.28290070630107466698,1.01222814548152162395,-0.81392648626790120581
1.80,-1.23971273871405074374,-0.49036752574995023934,0.17702065607839537198,1.28627723256481218961,1.00727345288322167605,-0.82897225687259701310
1.82,-1.25060875253961567566,-0.47904257582058740184,0.19178821352892777563,1.28950429752721862364,1.00219625059739714246,-0.84392155410364533275
1.84,-1.26136657020865206036,-0.46766251303346534351,0.20652839753704552161,1.29258346545360058855,0.99699864794339321250,-0.85877385594504707100
1.86,-1.27198676810468702669,-0.45622931465526861405,0.22123982790649845964,1.29551629526264289183,0.99168272905768362069,-0.87352867544856405146
1.88,-1.28246994011279968895,-0.44474492027372780623,0.23592116609932764493,1.29830434052640941722,0.98625055289387097979,-0.88818556073371857096
1.90,-1.29281669761962025866,-0.43321123179761983346,0.25057111523586511614,1.30094914947034245856,0.98070415322268644776,-0.90274409498779351058
1.92,-1.30302766951333115486,-0.42163011345676815189,0.26518842009473386767,1.30345226497326316384,0.97504553863198994978,-0.91720389646583189158
1.94,-1.31310350218366678199,-0.41000339180204181666,0.27977186711284862675,1.30581522456737131321,0.96927669252676973422,-0.93156461849063809666
1.96,-1.32304485952191241971,-0.39833285570535670317,0.29432028438541457671,1.30803956043824554101,0.96339957312914326071,-0.94582594945277664866
1.98,-1.33285242292090599925,-0.38662025635967495196,0.30883254166592788437,1.31012679942484289164,0.95741611347835653412,-0.95998761281057221062
2.00,-1.34252689127503610500,-0.37486730727900496873,0.32330755036617619957,1.31207846301949926371,0.95132822143078388244,-0.97404936709011025187
2.02,-1.35206898098024463906,-0.36307568429840075819,0.33774426355623859974,1.31389606736792896591,0.94513777965992862296,-0.98801100588523738111
2.04,-1.36147942593402326850,-0.35124702557396364488,0.35214167596448403552,1.31558112326922560520,0.93884664565642272915,-1.00187235785755990314
2.06,-1.37075897753541697810,-0.33938293158284055240,0.36649882397757377328,1.31713513617586097659,0.93245665172802694176,-1.01563328673644504008
2.08,-1.37990840468502140581,-0.32748496512322494700,0.38081478564045934121,1.31855960619368550724,0.92596960499963043567,-1.02929369131902070933
2.10,-1.38892849378498484114,-0.31555465131435617154,0.39508868065638402811,1.31985602808192847846,0.91938728741325126403,-1.04285350547017507949
2.12,-1.39782004873900644881,-0.30359347759652033361,0.40931967038688177318,1.32102589125319824781,0.91271145572803602519,-1.05631269812255701446
2.14,-1.40658377433222003816,-0.29160297007624913501,0.42350682968882291668,1.32207062120085261370,0.90594385114033970652,-1.06967112874713077275
2.16,-1.41522034518313799545,-0.27958463742302758215,0.43764923206740430350,1.32299160821921590880,0.89908618366980774805,-1.08292863840021036381
2.18,-1.42373053381414260699,-0.26753989410406370242,0.45174608437153146445,1.32379027554201345040,0.89214012800079867116,-1.09608520483354854314
